,Provider ID,Hospital Name,State,Emergency Services,Use of EHRs,Mortality,Safety of care,Readmission,Patient experience,Effectiveness of care,Timeliness of care,Medical imaging use,Hospital overall rating
1262,50099,SAN ANTONIO REGIONAL HOSPITAL,CA,True,True,0,0,1,-1,0,-1,-1,2.0
1263,51335,BEAR VALLEY COMMUNITY HOSPITAL,CA,False,True,,,,,,,,
1264,60028,SAINT JOSEPH HOSPITAL,CO,True,True,0,-1,-1,1,0,0,,4.0
1265,10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,True,True,0,,0,0,-1,1,,3.0
1266,110076,DEKALB MEDICAL CENTER,GA,True,True,0,-1,0,-1,0,-1,0,2.0
1267,50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,CA,True,True,,0,0,-1,-1,-1,0,2.0
1268,100087,SARASOTA MEMORIAL HOSPITAL,FL,True,True,-1,1,-1,1,0,0,0,5.0
1269,61308,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,CO,True,True,,,,,,,,
1270,50376,LAC/HARBOR-UCLA MED CENTER,CA,True,True,0,0,0,-1,-1,-1,,2.0
1271,53305,LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,CA,False,True,,,,,,,,
1272,50197,SEQUOIA HOSPITAL,CA,True,True,0,0,-1,1,0,0,0,4.0
1273,30087,SCOTTSDALE SHEA MEDICAL CENTER,AZ,True,True,0,-1,-1,1,-1,1,1,3.0
1274,50548,FAIRVIEW DEVELOPMENTAL CENTER,CA,False,,,,,,,,,
1275,70020,MIDDLESEX HOSPITAL,CT,True,True,0,-1,0,1,1,0,1,3.0
1276,110107,"MEDICAL CENTER, NAVICENT HEALTH (THE)",GA,True,True,1,0,1,-1,0,-1,0,2.0
1277,30033,BANNER PAYSON MEDICAL CENTER,AZ,True,True,0,0,0,-1,0,0,0,3.0
1278,61302,COLORADO CANYONS HOSPITAL AND MEDICAL CENTER,CO,True,True,,,,,,,,
1279,110125,FAIRVIEW PARK HOSPITAL,GA,True,True,0,1,-1,1,0,1,0,4.0
1280,100001,UF HEALTH JACKSONVILLE,FL,True,True,0,-1,1,-1,0,-1,-1,1.0
1281,101305,GEORGE E WEEMS MEMORIAL HOSPITAL,FL,True,True,,,,,,,,
1282,40076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,AR,True,True,0,,1,1,0,1,0,3.0
1283,50113,SAN MATEO MEDICAL CENTER,CA,True,True,,0,,-1,0,-1,0,3.0
1284,110129,ST FRANCIS HOSPITAL,GA,True,True,1,0,-1,-1,0,-1,0,3.0
1285,60030,MCKEE MEDICAL CENTER,CO,True,True,0,0,-1,0,0,0,0,3.0
1286,70010,BRIDGEPORT HOSPITAL,CT,True,True,-1,-1,1,0,0,-1,-1,2.0
1287,100049,HIGHLANDS REGIONAL MEDICAL CENTER,FL,True,True,0,-1,0,-1,0,0,,2.0
1288,90001,GEORGE WASHINGTON UNIV HOSPITAL,DC,True,True,0,-1,1,-1,0,-1,0,1.0
1289,100014,FLORIDA HOSPITAL NEW SMYRNA,FL,True,True,0,-1,0,-1,0,0,0,2.0
1290,50739,CENTINELA HOSPITAL MEDICAL CENTER,CA,True,True,-1,1,1,-1,0,-1,0,4.0
1291,110023,GORDON HOSPITAL,GA,True,True,0,1,-1,1,0,0,0,5.0
1292,50748,KAISER FOUNDATION HOSPITAL MANTECA,CA,True,True,,0,,0,0,,,3.0
1293,50677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,CA,True,True,,0,,1,0,,,3.0
1294,50457,ST MARY'S MEDICAL CENTER,CA,True,True,0,1,-1,-1,0,0,0,3.0
1295,100008,BAPTIST HOSPITAL OF MIAMI,FL,True,True,-1,-1,-1,0,0,-1,1,3.0
1296,31304,PAGE HOSPITAL,AZ,True,True,,,,1,0,1,,
1297,50194,WATSONVILLE COMMUNITY HOSPITAL,CA,True,True,0,1,0,-1,0,0,0,3.0
1298,51333,RIDGECREST REGIONAL HOSPITAL,CA,True,True,,,,,,,,
1299,10149,BAPTIST MEDICAL CENTER EAST,AL,True,True,0,1,-1,1,0,-1,0,5.0
1300,33302,PHOENIX CHILDREN'S HOSPITAL,AZ,False,True,,,,,,,,
1301,100086,BROWARD HEALTH NORTH,FL,True,True,0,-1,1,1,0,0,0,2.0
1302,50455,SAN JOAQUIN COMMUNITY HOSPITAL,CA,True,True,0,0,1,-1,0,-1,-1,2.0
1303,110104,CRISP REGIONAL HOSPITAL,GA,True,True,0,0,0,-1,0,0,0,3.0
1304,20001,PROVIDENCE ALASKA MEDICAL CENTER,AK,True,True,0,-1,-1,0,0,-1,0,3.0
1305,50766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,CA,False,True,,,,1,,,,
1306,83300,ALFRED I DUPONT HOSPITAL FOR CHILDREN,DE,True,True,,,,,,,,
1307,21305,WRANGELL MEDICAL CENTER,AK,True,True,,,,,,,,
1308,50126,VALLEY PRESBYTERIAN HOSPITAL,CA,True,True,0,-1,1,-1,-1,-1,0,2.0
1309,40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,True,True,0,1,-1,0,0,0,-1,3.0
1310,50397,COALINGA REGIONAL MEDICAL CENTER,CA,True,True,,,,,0,0,,
1311,110002,UPSON REGIONAL MEDICAL CENTER,GA,True,True,1,0,0,1,0,0,0,3.0
1312,100046,FLORIDA HOSPITAL ZEPHYRHILLS,FL,True,True,0,1,0,0,0,0,-1,3.0
1313,41311,HOWARD MEMORIAL HOSPITAL,AR,True,True,0,,0,,0,1,0,3.0
1314,100277,DOUGLAS GARDENS HOSPITAL,FL,False,,,,0,,,,,
1315,50279,HI-DESERT MEDICAL CENTER,CA,True,True,0,0,0,-1,0,-1,0,2.0
1316,100132,SOUTH FLORIDA BAPTIST HOSPITAL,FL,True,True,0,1,0,0,0,-1,0,3.0
1317,50131,NOVATO COMMUNITY HOSPITAL,CA,True,True,0,,-1,1,0,0,0,4.0
1318,50407,CHINESE HOSPITAL,CA,True,True,0,,0,-1,-1,1,0,3.0
1319,110064,MIDTOWN MEDICAL CENTER,GA,True,True,0,-1,0,-1,0,-1,0,2.0
1320,50760,KAISER FOUNDATION HOSPITAL - ANTIOCH,CA,True,True,,0,0,0,0,,,3.0
1321,70036,JOHN DEMPSEY HOSPITAL,CT,True,True,-1,1,0,-1,-1,0,0,3.0
1322,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,GA,True,True,1,-1,1,-1,-1,-1,1,1.0
1323,51323,COLORADO RIVER MEDICAL CENTER,CA,True,True,,,,,,,,
1324,50292,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,CA,True,True,0,1,0,-1,0,-1,,3.0
1325,30083,ABRAZO SCOTTSDALE CAMPUS,AZ,True,True,0,0,0,-1,0,0,,2.0
1326,50779,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",CA,True,,,,,,0,-1,,
1327,50350,BEVERLY HOSPITAL,CA,True,True,-1,0,1,-1,0,-1,0,3.0
1328,101300,FLORIDA HOSPITAL WAUCHULA,FL,True,True,0,,0,0,0,1,,3.0
1329,110122,SOUTH GEORGIA MEDICAL CENTER,GA,True,True,1,1,0,0,-1,-1,0,3.0
1330,101301,SHANDS LIVE OAK REGIONAL MEDICAL CENTER,FL,True,True,0,,-1,-1,0,0,0,3.0
1331,70038,"CONNECTICUT HOSPICE INC,THE",CT,False,,,,,,,,,
1332,10100,THOMAS HOSPITAL,AL,True,True,0,0,-1,1,0,0,-1,4.0
1333,10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,True,True,0,1,0,-1,0,0,0,3.0
1334,60011,DENVER HEALTH MEDICAL CENTER,CO,True,True,0,-1,-1,-1,0,0,1,3.0
1335,70003,DAY KIMBALL HOSPITAL,CT,True,True,0,-1,0,1,0,0,0,3.0
1336,10144,SPRINGHILL MEMORIAL HOSPITAL,AL,True,True,0,-1,0,-1,0,0,-1,2.0
1337,40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,AR,True,True,0,,0,1,0,1,0,4.0
1338,30110,ABRAZO WEST CAMPUS,AZ,True,True,0,-1,0,-1,-1,0,0,2.0
1339,50426,WEST ANAHEIM MEDICAL CENTER,CA,True,True,-1,1,0,-1,0,-1,0,3.0
1340,110150,OCONEE REGIONAL MEDICAL CENTER,GA,True,True,0,0,0,0,0,0,0,3.0
1341,60008,SAN LUIS VALLEY HEALTH,CO,True,True,0,0,0,0,0,0,0,3.0
1342,50714,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,CA,False,True,,,,1,1,,,
1343,61321,MT SAN RAFAEL HOSPITAL,CO,True,True,0,,0,,,,,
1344,100121,BARTOW REGIONAL MEDICAL CENTER,FL,True,True,0,0,0,-1,0,1,,3.0
1345,100127,MORTON PLANT HOSPITAL,FL,True,True,0,1,0,1,0,0,0,3.0
1346,50231,POMONA VALLEY HOSPITAL MEDICAL CENTER,CA,True,True,0,0,0,0,0,-1,0,3.0
1347,50742,OLYMPIA MEDICAL CENTER,CA,True,True,-1,0,1,-1,0,0,,2.0
1348,10169,ATMORE COMMUNITY HOSPITAL,AL,True,True,0,,0,1,0,1,,4.0
1349,33301,"LOS NINOS HOSPITAL, INC.",AZ,False,True,,,,,,,,
1350,171343,STANTON COUNTY HOSPITAL,KS,True,True,,,,,,,,
1351,213300,MOUNT WASHINGTON PEDIATRIC HOSPITAL,MD,False,True,,,,,,,,
1352,171337,WAMEGO HEALTH CENTER,KS,True,True,,,0,,,,,
1353,131318,VALOR HEALTH,ID,True,True,,,,,,,0,
1354,191313,RIVERSIDE MEDICAL CENTER,LA,True,True,0,,0,,,,,
1355,151335,ST VINCENT DUNN HOSPITAL INC,IN,True,True,0,,0,1,0,0,,4.0
1356,171354,"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS",KS,True,True,0,,0,1,,1,,4.0
1357,111329,ST MARY'S GOOD SAMARITAN HOSPITAL,GA,True,True,0,,0,,0,1,,3.0
1358,150026,GOSHEN GENERAL HOSPITAL,IN,True,True,1,0,0,1,0,0,0,3.0
1359,140228,SWEDISH AMERICAN HOSPITAL,IL,False,True,0,1,0,1,0,1,1,4.0
1360,210063,UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER,MD,True,True,,,,,,,,
1361,170120,LABETTE HEALTH,KS,True,True,0,0,-1,1,0,1,-1,4.0
1362,160153,MERCY MEDICAL CENTER-SIOUX CITY,IA,True,True,1,0,-1,-1,0,1,0,3.0
1363,161320,COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER,IA,True,True,,,,,0,,,
1364,210045,EDWARD MCCREADY MEMORIAL HOSPITAL,MD,True,True,,,,,,,,
1365,210057,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,MD,True,True,,,,,,,,
1366,170175,WESTERN PLAINS MEDICAL COMPLEX,KS,True,True,0,0,-1,-1,0,1,,3.0
1367,131303,NELL J REDFIELD MEMORIAL HOSPITAL,ID,True,True,,,,,,,,
1368,200050,MAINE COAST MEMORIAL HOSPITAL,ME,True,True,0,0,-1,1,1,-1,0,5.0
1369,220036,ST ELIZABETH'S MEDICAL CENTER,MA,True,True,-1,1,1,-1,0,0,0,3.0
1370,140077,TOUCHETTE REGIONAL HOSPITAL INC,IL,True,True,0,,0,-1,0,-1,,2.0
1371,140095,SAINT ANTHONY HOSPITAL,IL,True,True,0,0,0,0,0,-1,,3.0
1372,121308,KULA HOSPITAL,HI,True,True,,,,,,,,
1373,200008,MERCY HOSPITAL,ME,True,True,0,0,-1,1,0,-1,0,4.0
1374,171352,DECATUR COUNTY HOSPITAL,KS,True,True,,,,,,0,,
1375,150048,REID HEALTH,IN,True,True,0,0,-1,1,0,1,0,4.0
1376,140177,JACKSON PARK HOSPITAL,IL,True,True,0,0,1,-1,-1,1,0,1.0
1377,180051,JENNIE STUART MEDICAL CENTER,KY,True,True,1,0,1,0,0,0,0,2.0
1378,140242,CENTRAL DUPAGE HOSPITAL,IL,True,True,0,-1,-1,1,-1,0,1,3.0
1379,220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,MA,True,True,-1,0,1,0,0,-1,0,3.0
1380,140117,PRESENCE RESURRECTION MEDICAL CENTER,IL,True,True,-1,1,1,0,0,1,0,4.0
1381,190102,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",LA,True,True,0,1,-1,1,0,1,-1,4.0
1382,141301,KIRBY MEDICAL CENTER,IL,True,True,0,,0,,,,,
1383,120006,CASTLE MEDICAL CENTER,HI,True,True,0,0,0,1,0,0,0,3.0
1384,120007,KUAKINI MEDICAL CENTER,HI,True,True,0,0,-1,0,0,0,0,3.0
1385,181325,JANE TODD CRAWFORD HOSPITAL,KY,True,True,0,,0,1,-1,0,,3.0
1386,190053,JENNINGS AMERICAN LEGION HOSPITAL,LA,True,True,0,0,1,1,0,0,-1,3.0
1387,140122,ADVENTIST HINSDALE HOSPITAL,IL,True,True,-1,1,-1,1,0,1,0,4.0
1388,180044,PIKEVILLE MEDICAL CENTER,KY,True,True,0,0,1,0,1,0,-1,2.0
1389,190054,IBERIA GENERAL HOSPITAL AND MEDICAL CENTER,LA,True,True,0,1,0,-1,0,-1,-1,3.0
1390,151330,ADAMS MEMORIAL HOSPITAL,IN,True,True,0,,0,1,0,1,0,3.0
1391,150115,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,IN,True,True,0,0,-1,1,0,1,0,5.0
1392,111304,MORGAN MEMORIAL HOSPITAL,GA,True,True,,,,,,1,,
1393,120002,MAUI MEMORIAL MEDICAL CENTER,HI,True,True,0,0,0,-1,0,-1,0,3.0
1394,210016,ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL,MD,True,True,,,,,,,,
1395,151315,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,IN,True,True,0,,0,1,0,1,,3.0
1396,151324,"FRANCISCAN HEALTH RENSSELAER, INC",IN,True,True,0,,1,-1,,1,,2.0
1397,150158,IU HEALTH WEST HOSPITAL,IN,True,True,-1,1,-1,1,0,-1,1,5.0
1398,171362,CITIZENS MEDICAL CENTER,KS,True,True,0,,0,1,,,,3.0
1399,150001,JOHNSON MEMORIAL HOSPITAL,IN,True,True,0,0,-1,1,0,1,0,4.0
1400,131305,STEELE MEMORIAL MEDICAL CENTER,ID,True,True,,,0,,,,,
1401,161308,FRANKLIN GENERAL HOSPITAL,IA,True,True,,,0,,,,,
1402,170017,SUSAN B ALLEN MEMORIAL HOSPITAL,KS,True,True,1,0,0,1,0,1,0,3.0
1403,121307,HALE HO'OLA HAMAKUA,HI,True,True,,,,,,,,
1404,151316,ST VINCENT FRANKFORT HOSPITAL INC,IN,True,True,0,,0,0,0,0,0,3.0
1405,220058,CLINTON HOSPITAL ASSOCIATION,MA,True,True,0,,0,0,-1,0,,3.0
1406,171334,MEDICINE LODGE MEMORIAL HOSPITAL,KS,True,True,,,0,,,,,
1407,190255,PARK PLACE SURGICAL HOSPITAL,LA,False,,,,,1,-1,,,
1408,170187,SALINA SURGICAL HOSPITAL,KS,False,True,,,,1,0,,,
1409,161370,LORING HOSPITAL,IA,True,True,0,,0,,0,,0,3.0
1410,210056,MEDSTAR GOOD SAMARITAN HOSPITAL,MD,True,True,,,,,,,,
1411,201310,BRIDGTON HOSPITAL,ME,True,True,0,,0,1,,,0,4.0
1412,190020,LANE REGIONAL MEDICAL CENTER,LA,True,True,1,-1,1,0,0,0,-1,2.0
1413,210043,UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER,MD,True,True,,,,,,,,
1414,220062,ADCARE HOSPITAL OF WORCESTER INC,MA,False,True,,,,,,,,
1415,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,IL,True,True,0,0,-1,-1,0,-1,0,3.0
1416,180001,ST ELIZABETH FT THOMAS,KY,True,True,0,1,0,0,0,0,0,4.0
1417,160008,KEOKUK AREA HOSPITAL,IA,True,True,1,0,0,0,0,1,,2.0
1418,141339,TAYLORVILLE MEMORIAL HOSPITAL,IL,True,True,0,,0,1,0,1,0,4.0
1419,170146,PROVIDENCE MEDICAL CENTER,KS,True,True,0,1,1,-1,0,0,0,4.0
1420,140239,ROCKFORD MEMORIAL HOSPITAL,IL,True,True,1,0,1,0,0,1,0,3.0
1421,180011,SAINT JOSEPH LONDON,KY,True,True,0,-1,0,1,-1,-1,0,3.0
1422,180115,ROCKCASTLE REGIONAL HOSPITAL & RESPIRATORY CARE CT,KY,True,True,0,,1,1,0,1,0,3.0
1423,190079,ST CHARLES PARISH HOSPITAL,LA,True,True,,,0,0,0,0,,3.0
1424,140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,IL,True,True,0,-1,-1,1,0,0,1,3.0
1425,181308,BLUEGRASS COMMUNITY HOSPITAL,KY,True,True,,,0,,,,,
1426,140054,MACNEAL  HOSPITAL,IL,True,True,0,0,0,-1,0,-1,0,2.0
1427,183300,SHRINERS HOSPITAL FOR CHILDREN,KY,False,True,,,,,,,,
1428,181306,METHODIST HOSPITAL UNION COUNTY,KY,True,True,0,,0,,0,1,,3.0
1429,210060,FORT WASHINGTON HOSPITAL,MD,True,True,,,,,,,,
1430,111331,MITCHELL COUNTY HOSPITAL,GA,True,True,,,,,,,,
1431,171366,HARPER HOSPITAL DISTRICT NO 5,KS,True,True,0,,0,,,,,
1432,191323,RICHLAND PARISH HOSPITAL-DELHI,LA,True,True,0,,0,,,0,,3.0
1433,190218,SABINE MEDICAL CENTER,LA,True,True,0,,0,,-1,1,,3.0
1434,180027,MURRAY-CALLOWAY COUNTY HOSPITAL,KY,True,True,1,1,1,1,-1,0,0,3.0
1435,150004,FRANCISCAN HEALTH HAMMOND,IN,True,True,-1,0,1,-1,0,0,0,3.0
1436,161367,PELLA REGIONAL HEALTH CENTER,IA,True,True,0,,0,1,0,1,-1,4.0
1437,110226,DEKALB MEDICAL CENTER AT HILLANDALE,GA,True,True,0,-1,0,-1,0,-1,0,2.0
1438,161336,HEGG MEMORIAL HEALTH CENTER,IA,True,True,,,,,0,0,,
1439,110191,PIEDMONT HENRY HOSPITAL,GA,True,True,1,1,1,-1,0,-1,0,2.0
1440,170013,HAYS MEDICAL CENTER,KS,True,True,0,-1,-1,1,0,1,-1,3.0
1441,190140,FRANKLIN MEDICAL CENTER,LA,True,True,0,,1,,0,1,,2.0
1442,201311,DOWN EAST COMMUNITY HOSPITAL,ME,True,True,0,,0,1,0,0,0,3.0
1443,190041,CHRISTUS HEALTH SHREVEPORT - BOSSIER,LA,True,True,0,1,0,1,-1,0,1,4.0
1444,170009,SAINT JOHN HOSPITAL,KS,True,True,0,,0,1,0,0,,4.0
1445,140197,METHODIST HOSPITAL OF CHICAGO,IL,True,True,0,,0,0,0,0,,3.0
1446,110189,FANNIN REGIONAL HOSPITAL,GA,True,True,0,,0,1,0,0,0,3.0
1447,141316,HOOPESTON COMMUNITY MEMORIAL HOSPITAL,IL,True,True,0,,0,,,,0,3.0
1448,180012,HARDIN MEMORIAL HOSPITAL,KY,True,True,0,1,-1,0,-1,-1,0,4.0
1449,150102,STARKE HOSPITAL,IN,True,True,0,,0,,0,1,0,3.0
1450,140179,LITTLE COMPANY OF MARY HOSPITAL,IL,True,True,0,-1,1,0,-1,-1,-1,2.0
1451,180149,T J HEALTH COLUMBIA,KY,True,True,0,,0,1,0,0,,4.0
1452,190004,THIBODAUX REGIONAL MEDICAL CENTER,LA,True,True,0,-1,-1,1,0,0,-1,4.0
1453,150169,COMMUNITY HOSPITAL NORTH,IN,True,True,0,0,0,1,0,0,0,3.0
1454,150024,ESKENAZI HEALTH,IN,True,True,0,-1,0,-1,-1,-1,0,2.0
1455,181315,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,KY,True,True,,,0,,0,1,,3.0
1456,210058,UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE,MD,False,True,,,,,,,,
1457,160024,IOWA LUTHERAN HOSPITAL,IA,True,True,0,1,-1,1,0,0,0,4.0
1458,191326,REEVES MEMORIAL MEDICAL CENTER,LA,True,True,,,,,,1,,
1459,190208,EAST CARROLL PARISH HOSPITAL,LA,True,True,0,,0,0,0,1,,3.0
1460,170196,"KANSAS SPINE & SPECIALTY HOSPITAL, LLC",KS,False,True,,,,1,,,,
1461,140290,ST ALEXIUS MEDICAL CENTER,IL,True,True,-1,1,-1,-1,0,0,0,4.0
1462,190007,NATCHITOCHES REGIONAL MEDICAL CENTER,LA,True,True,-1,0,-1,0,0,0,-1,4.0
1463,151331,HARRISON COUNTY HOSPITAL,IN,True,True,0,,0,0,0,1,0,3.0
1464,190236,WILLIS KNIGHTON BOSSIER HEALTH CENTER,LA,True,True,-1,1,-1,0,0,0,-1,5.0
1465,180138,BAPTIST HEALTH LA GRANGE,KY,True,True,0,0,0,0,0,0,0,3.0
1466,150056,INDIANA UNIVERSITY HEALTH,IN,True,True,0,-1,1,-1,0,0,1,2.0
1467,181318,THE MEDICAL CENTER AT FRANKLIN,KY,True,True,0,,0,1,,,0,4.0
1468,190312,OUR LADY OF THE ANGELS HOSPITAL,LA,True,True,,0,0,1,0,0,-1,3.0
1469,161346,SIOUX CENTER HEALTH,IA,True,True,,,,0,0,0,,
1470,161303,GRUNDY COUNTY MEMORIAL HOSPITAL,IA,True,True,,,0,,,1,,
1471,180018,ST CLAIRE REGIONAL MEDICAL CENTER,KY,True,True,0,-1,1,0,0,1,1,2.0
1472,150030,HENRY COUNTY MEMORIAL HOSPITAL,IN,True,True,0,0,-1,1,0,1,0,4.0
1473,220063,LOWELL GENERAL HOSPITAL,MA,True,True,0,0,1,0,0,-1,1,2.0
1474,141344,LAWRENCE COUNTY MEMORIAL HOSPITAL,IL,True,True,0,,0,0,,,,3.0
1475,170133,SAINT LUKE'S CUSHING HOSPITAL,KS,True,True,0,,0,0,0,1,0,4.0
1476,140184,HEARTLAND REGIONAL MEDICAL CENTER,IL,True,True,0,-1,1,-1,0,1,0,2.0
1477,150007,COMMUNITY HOWARD REGIONAL HEALTH INC,IN,True,True,0,0,0,0,0,0,0,3.0
1478,150183,MONROE HOSPITAL,IN,True,True,,,,,,0,,
1479,140082,LOUIS A WEISS MEMORIAL HOSPITAL,IL,True,True,0,-1,1,-1,0,0,0,2.0
1480,131319,MINIDOKA MEMORIAL HOSPITAL,ID,True,True,,,0,,,,,
1481,140289,ANDERSON HOSPITAL,IL,True,True,0,0,0,0,0,0,1,3.0
1482,160033,GENESIS MEDICAL CENTER-DAVENPORT,IA,True,True,-1,1,0,-1,0,1,1,4.0
1483,161344,WASHINGTON COUNTY HOSPITAL AND CLINICS,IA,True,True,0,,0,,,,,
1484,113300,CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,GA,True,True,,,,,,,,
1485,171323,STAFFORD COUNTY HOSPITAL,KS,True,True,,,,,,,,
1486,140058,PASSAVANT AREA HOSPITAL,IL,True,True,1,1,-1,0,0,0,0,3.0
1487,170075,"MERCY HOSPITAL, INC",KS,True,True,,,0,,0,1,,3.0
1488,161343,REGIONAL MEDICAL CENTER,IA,True,True,0,,0,1,0,0,,4.0
1489,181310,CARROLL COUNTY MEMORIAL HOSPITAL,KY,True,True,0,,0,,,1,0,3.0
1490,190256,STERLING SURGICAL HOSPITAL,LA,False,True,,,,,,,,
1491,111325,WILLS MEMORIAL HOSPITAL,GA,True,True,0,,0,,,1,,3.0
1492,220049,MARLBOROUGH HOSPITAL,MA,True,True,0,1,0,-1,0,-1,0,3.0
1493,161323,MITCHELL COUNTY REGIONAL HEALTH,IA,True,True,0,,0,,,,,
1494,123301,SHRINERS HOSPITAL FOR CHILDREN,HI,False,True,,,,,,,,
1495,210033,CARROLL HOSPITAL CENTER,MD,True,True,,,,,,,,
1496,140043,CGH MEDICAL CENTER,IL,True,True,0,1,-1,0,0,1,1,4.0
1497,190011,UNIVERSITY HEALTH CONWAY,LA,True,True,,0,0,0,0,-1,0,3.0
1498,201313,SEBASTICOOK VALLEY HEALTH,ME,True,True,0,,0,1,,0,0,3.0
1499,150091,PARKVIEW HUNTINGTON HOSPITAL,IN,True,True,0,0,-1,1,0,0,,4.0
1500,161305,POCAHONTAS COMMUNITY HOSPITAL,IA,True,True,,,,,,,,
1501,210015,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,MD,False,True,,,,,,,,
1502,110225,PIEDMONT MOUNTAINSIDE HOSPITAL INC,GA,True,True,0,0,0,0,0,-1,0,3.0
1503,140206,NORWEGIAN-AMERICAN HOSPITAL,IL,True,True,0,0,0,-1,0,-1,,2.0
1504,150018,ELKHART GENERAL HOSPITAL,IN,True,True,0,0,-1,1,1,0,1,4.0
1505,140127,ADVOCATE BROMENN MEDICAL CENTER,IL,True,True,1,0,-1,1,0,0,-1,3.0
1506,181314,THE MEDICAL CENTER AT CAVERNA,KY,True,True,0,,0,,0,0,,3.0
1507,220008,STURDY MEMORIAL HOSPITAL,MA,True,True,0,1,0,0,1,0,0,3.0
1508,130006,ST LUKE'S REGIONAL MEDICAL CENTER,ID,True,True,0,1,-1,1,0,0,0,5.0
1509,120019,KONA COMMUNITY HOSPITAL,HI,True,True,0,0,0,-1,0,0,,2.0
1510,131320,CLEARWATER VALLEY HOSPITAL & CLINICS,ID,True,True,0,,0,0,,,,3.0
1511,140213,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,IL,True,True,-1,1,1,1,0,0,0,4.0
1512,141325,OSF SAINT LUKES MEDICAL CENTER,IL,True,True,0,,0,,,,,
1513,190026,RAPIDES REGIONAL MEDICAL CENTER,LA,True,True,0,0,1,0,1,0,0,3.0
1514,150165,FRANCISCAN HEALTH MUNSTER,IN,False,True,0,0,0,0,0,0,0,3.0
1515,151318,DUKES MEMORIAL HOSPITAL,IN,True,True,0,,0,0,0,1,0,3.0
1516,220065,NOBLE HOSPITAL,MA,True,True,0,0,0,1,0,0,0,4.0
1517,170016,ST FRANCIS HEALTH CENTER INC,KS,True,True,1,-1,0,1,0,1,0,3.0
1518,170012,SALINA REGIONAL HEALTH CENTER,KS,True,True,0,-1,0,0,0,1,0,3.0
1519,210028,MEDSTAR SAINT MARY'S HOSPITAL,MD,True,True,,,,,,,,
1520,171369,HODGEMAN COUNTY HEALTH CENTER,KS,True,True,,,,,,,,
1521,181323,OHIO COUNTY HOSPITAL,KY,True,True,0,,0,0,,,,3.0
1522,110177,DOCTORS HOSPITAL,GA,True,True,0,-1,1,-1,0,1,0,2.0
1523,150160,ORTHOINDY HOSPITAL,IN,False,,,,,1,,,,
1524,190267,FAIRWAY MEDICAL CENTER,LA,False,True,,,,,0,,,
1525,141348,RED BUD REGIONAL HOSPITAL,IL,True,True,0,,0,0,0,1,,3.0
1526,161355,KNOXVILLE HOSPITAL & CLINICS,IA,True,True,0,,0,,0,1,0,3.0
1527,151327,SULLIVAN COUNTY COMMUNITY HOSPITAL,IN,True,True,0,,0,,0,0,,2.0
1528,180116,JACKSON PURCHASE MEDICAL CENTER,KY,True,True,0,1,1,0,0,1,-1,3.0
1529,150168,THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,IN,False,True,,,,1,,,,
1530,210022,SUBURBAN HOSPITAL,MD,True,True,,,,,,,,
1531,150179,FAIRBANKS,IN,False,True,,,,,,,,
1532,121303,MOLOKAI GENERAL HOSPITAL,HI,True,True,,,,,,,,
1533,151305,PULASKI MEMORIAL HOSPITAL,IN,True,True,,,0,1,0,0,0,4.0
1534,210013,BON SECOURS HOSPITAL,MD,True,True,,,,,,,,
1535,160067,COVENANT MEDICAL CENTER,IA,True,True,0,0,-1,0,0,1,1,4.0
1536,190245,MONROE SURGICAL HOSPITAL,LA,False,True,,,,1,0,,-1,
1537,210039,CALVERT MEMORIAL HOSPITAL,MD,True,True,,,,,,,,
